ESTAR: Stopping Powers and Range Tables for Electrons

POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic   Collision Radiative Total     D. Effect
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Parameter
MeV       MeV cm2/g MeV cm2/g MeV cm2/g

9.870E-01 1.789E+00 1.099E-02 1.800E+00 3.591E-01
9.930E-01 1.788E+00 1.105E-02 1.800E+00 3.632E-01
9.990E-01 1.788E+00 1.112E-02 1.799E+00 3.672E-01
1.005E+00 1.787E+00 1.118E-02 1.798E+00 3.713E-01
1.011E+00 1.786E+00 1.125E-02 1.797E+00 3.753E-01
1.017E+00 1.785E+00 1.131E-02 1.797E+00 3.794E-01
1.023E+00 1.785E+00 1.138E-02 1.796E+00 3.834E-01
1.029E+00 1.784E+00 1.144E-02 1.795E+00 3.875E-01
1.035E+00 1.783E+00 1.151E-02 1.795E+00 3.915E-01
1.041E+00 1.783E+00 1.157E-02 1.794E+00 3.955E-01
1.047E+00 1.782E+00 1.164E-02 1.794E+00 3.995E-01
1.053E+00 1.781E+00 1.170E-02 1.793E+00 4.036E-01
1.059E+00 1.781E+00 1.177E-02 1.793E+00 4.076E-01
1.065E+00 1.780E+00 1.184E-02 1.792E+00 4.116E-01
1.071E+00 1.780E+00 1.190E-02 1.791E+00 4.156E-01
1.077E+00 1.779E+00 1.197E-02 1.791E+00 4.196E-01
1.083E+00 1.778E+00 1.203E-02 1.790E+00 4.236E-01
1.089E+00 1.778E+00 1.210E-02 1.790E+00 4.276E-01
1.095E+00 1.777E+00 1.217E-02 1.790E+00 4.316E-01
1.101E+00 1.777E+00 1.223E-02 1.789E+00 4.356E-01
1.107E+00 1.776E+00 1.230E-02 1.789E+00 4.396E-01
1.113E+00 1.776E+00 1.237E-02 1.788E+00 4.435E-01
1.119E+00 1.775E+00 1.244E-02 1.788E+00 4.475E-01
1.125E+00 1.775E+00 1.250E-02 1.787E+00 4.515E-01
1.131E+00 1.774E+00 1.257E-02 1.787E+00 4.555E-01
1.137E+00 1.774E+00 1.264E-02 1.786E+00 4.594E-01
1.143E+00 1.773E+00 1.270E-02 1.786E+00 4.634E-01
1.149E+00 1.773E+00 1.277E-02 1.786E+00 4.673E-01
1.155E+00 1.772E+00 1.284E-02 1.785E+00 4.713E-01
1.161E+00 1.772E+00 1.291E-02 1.785E+00 4.752E-01
1.167E+00 1.772E+00 1.298E-02 1.785E+00 4.791E-01
1.173E+00 1.771E+00 1.304E-02 1.784E+00 4.831E-01
1.179E+00 1.771E+00 1.311E-02 1.784E+00 4.870E-01
1.185E+00 1.770E+00 1.318E-02 1.784E+00 4.909E-01
1.191E+00 1.770E+00 1.325E-02 1.783E+00 4.948E-01
1.197E+00 1.770E+00 1.332E-02 1.783E+00 4.987E-01
1.203E+00 1.769E+00 1.339E-02 1.783E+00 5.026E-01
1.209E+00 1.769E+00 1.346E-02 1.782E+00 5.065E-01
1.215E+00 1.769E+00 1.353E-02 1.782E+00 5.104E-01
1.221E+00 1.768E+00 1.359E-02 1.782E+00 5.143E-01
1.227E+00 1.768E+00 1.366E-02 1.782E+00 5.182E-01
1.233E+00 1.768E+00 1.373E-02 1.781E+00 5.221E-01
1.239E+00 1.767E+00 1.380E-02 1.781E+00 5.260E-01
1.245E+00 1.767E+00 1.387E-02 1.781E+00 5.298E-01
1.251E+00 1.767E+00 1.394E-02 1.781E+00 5.337E-01
1.257E+00 1.766E+00 1.401E-02 1.780E+00 5.375E-01
1.263E+00 1.766E+00 1.408E-02 1.780E+00 5.414E-01
1.269E+00 1.766E+00 1.415E-02 1.780E+00 5.452E-01
1.275E+00 1.766E+00 1.422E-02 1.780E+00 5.491E-01
1.281E+00 1.765E+00 1.429E-02 1.780E+00 5.529E-01
1.287E+00 1.765E+00 1.436E-02 1.779E+00 5.567E-01
1.293E+00 1.765E+00 1.443E-02 1.779E+00 5.605E-01
1.299E+00 1.765E+00 1.450E-02 1.779E+00 5.644E-01
1.305E+00 1.764E+00 1.457E-02 1.779E+00 5.682E-01
1.311E+00 1.764E+00 1.465E-02 1.779E+00 5.720E-01
1.317E+00 1.764E+00 1.472E-02 1.779E+00 5.758E-01
1.323E+00 1.764E+00 1.479E-02 1.778E+00 5.796E-01
1.329E+00 1.763E+00 1.486E-02 1.778E+00 5.833E-01
1.335E+00 1.763E+00 1.493E-02 1.778E+00 5.871E-01
1.341E+00 1.763E+00 1.500E-02 1.778E+00 5.909E-01
1.347E+00 1.763E+00 1.507E-02 1.778E+00 5.947E-01
1.353E+00 1.763E+00 1.514E-02 1.778E+00 5.984E-01
1.359E+00 1.762E+00 1.522E-02 1.778E+00 6.022E-01
1.365E+00 1.762E+00 1.529E-02 1.778E+00 6.059E-01
1.371E+00 1.762E+00 1.536E-02 1.777E+00 6.097E-01
1.377E+00 1.762E+00 1.543E-02 1.777E+00 6.134E-01
1.383E+00 1.762E+00 1.550E-02 1.777E+00 6.171E-01
1.389E+00 1.762E+00 1.558E-02 1.777E+00 6.209E-01
1.395E+00 1.761E+00 1.565E-02 1.777E+00 6.246E-01
1.401E+00 1.761E+00 1.572E-02 1.777E+00 6.283E-01
1.407E+00 1.761E+00 1.579E-02 1.777E+00 6.320E-01
1.413E+00 1.761E+00 1.587E-02 1.777E+00 6.357E-01
1.419E+00 1.761E+00 1.594E-02 1.777E+00 6.394E-01
1.425E+00 1.761E+00 1.601E-02 1.777E+00 6.431E-01
1.431E+00 1.761E+00 1.608E-02 1.777E+00 6.468E-01
1.437E+00 1.761E+00 1.616E-02 1.777E+00 6.505E-01
1.443E+00 1.760E+00 1.623E-02 1.777E+00 6.541E-01
1.449E+00 1.760E+00 1.630E-02 1.777E+00 6.578E-01
1.455E+00 1.760E+00 1.638E-02 1.777E+00 6.615E-01
1.461E+00 1.760E+00 1.645E-02 1.777E+00 6.651E-01
1.467E+00 1.760E+00 1.652E-02 1.777E+00 6.688E-01
1.473E+00 1.760E+00 1.660E-02 1.776E+00 6.724E-01
1.479E+00 1.760E+00 1.667E-02 1.776E+00 6.760E-01
1.485E+00 1.760E+00 1.674E-02 1.776E+00 6.797E-01
1.491E+00 1.760E+00 1.682E-02 1.776E+00 6.833E-01
1.497E+00 1.760E+00 1.689E-02 1.776E+00 6.869E-01
1.504E+00 1.759E+00 1.698E-02 1.776E+00 6.911E-01
1.510E+00 1.759E+00 1.705E-02 1.776E+00 6.947E-01
1.516E+00 1.759E+00 1.713E-02 1.776E+00 6.983E-01
1.522E+00 1.759E+00 1.720E-02 1.776E+00 7.019E-01
1.528E+00 1.759E+00 1.728E-02 1.776E+00 7.055E-01
1.534E+00 1.759E+00 1.735E-02 1.776E+00 7.091E-01
1.540E+00 1.759E+00 1.742E-02 1.776E+00 7.126E-01
1.546E+00 1.759E+00 1.750E-02 1.777E+00 7.162E-01
1.552E+00 1.759E+00 1.757E-02 1.777E+00 7.198E-01
1.558E+00 1.759E+00 1.765E-02 1.777E+00 7.233E-01
