E(keV),dNtot/dE b-,unc.
268,2.20E-03,1.66E-06
269,2.20E-03,1.60E-06
270,2.19E-03,1.54E-06
271,2.19E-03,1.48E-06
272,2.18E-03,1.42E-06
273,2.17E-03,1.36E-06
274,2.17E-03,1.30E-06
275,2.16E-03,1.24E-06
276,2.16E-03,1.18E-06
277,2.15E-03,1.12E-06
278,2.14E-03,1.05E-06
279,2.14E-03,9.91E-07
280,2.13E-03,9.28E-07
281,2.13E-03,8.64E-07
282,2.12E-03,8.00E-07
283,2.11E-03,7.35E-07
284,2.11E-03,6.71E-07
285,2.10E-03,6.06E-07
286,2.09E-03,5.40E-07
287,2.09E-03,4.74E-07
288,2.08E-03,4.08E-07
289,2.08E-03,3.42E-07
290,2.07E-03,2.75E-07
291,2.06E-03,2.08E-07
292,2.06E-03,1.40E-07
293,2.05E-03,7.24E-08
294,2.04E-03,5.00E-08
295,2.04E-03,1.19E-07
296,2.03E-03,1.89E-07
297,2.02E-03,2.59E-07
298,2.01E-03,3.29E-07
299,2.01E-03,3.99E-07
300,2.00E-03,4.70E-07
301,1.99E-03,5.41E-07
302,1.99E-03,6.13E-07
303,1.98E-03,6.85E-07
304,1.97E-03,7.57E-07
305,1.97E-03,8.29E-07
306,1.96E-03,9.01E-07
307,1.95E-03,9.74E-07
308,1.94E-03,1.05E-06
309,1.94E-03,1.12E-06
310,1.93E-03,1.19E-06
311,1.92E-03,1.27E-06
312,1.91E-03,1.34E-06
313,1.91E-03,1.42E-06
314,1.90E-03,1.49E-06
315,1.89E-03,1.57E-06
316,1.88E-03,1.64E-06
317,1.88E-03,1.72E-06
318,1.87E-03,1.79E-06
319,1.86E-03,1.87E-06
320,1.85E-03,1.94E-06
321,1.85E-03,2.02E-06
322,1.84E-03,2.10E-06
323,1.83E-03,2.17E-06
324,1.82E-03,2.25E-06
325,1.81E-03,2.33E-06
326,1.81E-03,2.41E-06
327,1.80E-03,2.48E-06
328,1.79E-03,2.56E-06
329,1.78E-03,2.64E-06
330,1.77E-03,2.72E-06
331,1.76E-03,2.79E-06
332,1.76E-03,2.87E-06
333,1.75E-03,2.95E-06
334,1.74E-03,3.03E-06
335,1.73E-03,3.11E-06
336,1.72E-03,3.19E-06
337,1.71E-03,3.27E-06
338,1.71E-03,3.34E-06
339,1.70E-03,3.42E-06
340,1.69E-03,3.50E-06
341,1.68E-03,3.58E-06
342,1.67E-03,3.66E-06
343,1.66E-03,3.74E-06
344,1.65E-03,3.82E-06
345,1.65E-03,3.90E-06
346,1.64E-03,3.98E-06
347,1.63E-03,4.06E-06
348,1.62E-03,4.14E-06
349,1.61E-03,4.22E-06
350,1.60E-03,4.30E-06
351,1.59E-03,4.38E-06
352,1.58E-03,4.46E-06
353,1.58E-03,4.54E-06
354,1.57E-03,4.62E-06
355,1.56E-03,4.70E-06
356,1.55E-03,4.78E-06
357,1.54E-03,4.86E-06
358,1.53E-03,4.93E-06
359,1.52E-03,5.01E-06
360,1.51E-03,5.09E-06
361,1.50E-03,5.17E-06
362,1.49E-03,5.25E-06
363,1.48E-03,5.33E-06
364,1.47E-03,5.41E-06
365,1.46E-03,5.49E-06
366,1.45E-03,5.57E-06
367,1.45E-03,5.64E-06
368,1.44E-03,5.72E-06
369,1.43E-03,5.80E-06
370,1.42E-03,5.88E-06
371,1.41E-03,5.96E-06
372,1.40E-03,6.03E-06
373,1.39E-03,6.11E-06
374,1.38E-03,6.19E-06
375,1.37E-03,6.26E-06
376,1.36E-03,6.34E-06
377,1.35E-03,6.42E-06
378,1.34E-03,6.49E-06
379,1.33E-03,6.57E-06
380,1.32E-03,6.64E-06
381,1.31E-03,6.72E-06
382,1.30E-03,6.79E-06
383,1.29E-03,6.87E-06
384,1.28E-03,6.94E-06
385,1.27E-03,7.02E-06
386,1.26E-03,7.09E-06
387,1.25E-03,7.16E-06
388,1.24E-03,7.23E-06
389,1.23E-03,7.31E-06
390,1.22E-03,7.38E-06
391,1.21E-03,7.45E-06
392,1.20E-03,7.52E-06
393,1.19E-03,7.59E-06
394,1.18E-03,7.66E-06
395,1.17E-03,7.73E-06
396,1.16E-03,7.80E-06
397,1.15E-03,7.87E-06
398,1.14E-03,7.93E-06
399,1.13E-03,8.00E-06
400,1.12E-03,8.07E-06
401,1.11E-03,8.13E-06
402,1.10E-03,8.20E-06
403,1.09E-03,8.26E-06
404,1.08E-03,8.33E-06
405,1.07E-03,8.39E-06
406,1.06E-03,8.45E-06
407,1.05E-03,8.51E-06
408,1.04E-03,8.57E-06
409,1.03E-03,8.63E-06
410,1.02E-03,8.69E-06
411,1.01E-03,8.75E-06
412,9.96E-04,8.81E-06
413,9.86E-04,8.87E-06
414,9.75E-04,8.92E-06
415,9.65E-04,8.98E-06
416,9.54E-04,9.04E-06
417,9.44E-04,9.09E-06
418,9.34E-04,9.14E-06
419,9.23E-04,9.19E-06
420,9.13E-04,9.25E-06
421,9.03E-04,9.30E-06
