E(keV),dNtot/dE b-,unc.
1157,5.82E-04,1.71E-07
1164,5.80E-04,1.65E-07
1171,5.79E-04,1.59E-07
1178,5.77E-04,1.53E-07
1185,5.75E-04,1.46E-07
1192,5.73E-04,1.40E-07
1199,5.71E-04,1.33E-07
1206,5.70E-04,1.27E-07
1213,5.68E-04,1.20E-07
1220,5.66E-04,1.14E-07
1227,5.64E-04,1.07E-07
1234,5.62E-04,1.00E-07
1241,5.60E-04,9.37E-08
1248,5.58E-04,8.70E-08
1255,5.55E-04,8.03E-08
1262,5.53E-04,7.37E-08
1269,5.51E-04,6.71E-08
1276,5.49E-04,6.08E-08
1283,5.47E-04,5.48E-08
1290,5.44E-04,4.92E-08
1297,5.42E-04,4.44E-08
1304,5.40E-04,4.06E-08
1311,5.37E-04,3.82E-08
1318,5.35E-04,3.75E-08
1325,5.32E-04,3.91E-08
1332,5.30E-04,4.24E-08
1339,5.27E-04,4.72E-08
1346,5.25E-04,5.31E-08
1353,5.22E-04,5.98E-08
1360,5.19E-04,6.72E-08
1367,5.17E-04,7.51E-08
1374,5.14E-04,8.34E-08
1381,5.11E-04,9.20E-08
1388,5.08E-04,1.01E-07
1395,5.05E-04,1.10E-07
1402,5.02E-04,1.19E-07
1409,4.99E-04,1.29E-07
1416,4.96E-04,1.38E-07
1423,4.93E-04,1.48E-07
1430,4.90E-04,1.58E-07
1437,4.87E-04,1.68E-07
1444,4.84E-04,1.79E-07
1451,4.81E-04,1.89E-07
1458,4.78E-04,1.99E-07
1465,4.74E-04,2.10E-07
1472,4.71E-04,2.21E-07
1479,4.68E-04,2.32E-07
1486,4.64E-04,2.43E-07
1493,4.61E-04,2.54E-07
1500,4.57E-04,2.65E-07
1507,4.54E-04,2.76E-07
1514,4.50E-04,2.87E-07
1521,4.47E-04,2.99E-07
1528,4.43E-04,3.10E-07
1535,4.39E-04,3.22E-07
1542,4.35E-04,3.34E-07
1549,4.32E-04,3.45E-07
1556,4.28E-04,3.57E-07
1563,4.24E-04,3.69E-07
1570,4.20E-04,3.81E-07
1577,4.16E-04,3.93E-07
1584,4.12E-04,4.05E-07
1591,4.08E-04,4.17E-07
1598,4.04E-04,4.30E-07
1605,4.00E-04,4.42E-07
1612,3.96E-04,4.54E-07
1619,3.91E-04,4.66E-07
1626,3.87E-04,4.79E-07
1633,3.83E-04,4.91E-07
1640,3.79E-04,5.03E-07
1647,3.74E-04,5.15E-07
1654,3.70E-04,5.28E-07
1661,3.65E-04,5.40E-07
1668,3.61E-04,5.52E-07
1675,3.56E-04,5.65E-07
1682,3.52E-04,5.77E-07
1689,3.47E-04,5.89E-07
1696,3.43E-04,6.01E-07
1703,3.38E-04,6.13E-07
1710,3.33E-04,6.25E-07
1717,3.28E-04,6.37E-07
1724,3.24E-04,6.49E-07
1731,3.19E-04,6.61E-07
1738,3.14E-04,6.73E-07
1745,3.09E-04,6.84E-07
1752,3.04E-04,6.96E-07
1759,2.99E-04,7.07E-07
1766,2.94E-04,7.19E-07
1773,2.89E-04,7.30E-07
1780,2.84E-04,7.41E-07
1787,2.79E-04,7.51E-07
1794,2.74E-04,7.62E-07
1801,2.69E-04,7.72E-07
1808,2.64E-04,7.82E-07
1815,2.59E-04,7.92E-07
1822,2.54E-04,8.02E-07
1829,2.49E-04,8.11E-07
1836,2.44E-04,8.21E-07
1843,2.39E-04,8.30E-07
1850,2.33E-04,8.38E-07
1857,2.28E-04,8.47E-07
1864,2.23E-04,8.55E-07
1871,2.18E-04,8.62E-07
1878,2.13E-04,8.70E-07
1885,2.07E-04,8.77E-07
1892,2.02E-04,8.83E-07
1899,1.97E-04,8.89E-07
1906,1.92E-04,8.95E-07
1913,1.87E-04,9.01E-07
1920,1.81E-04,9.05E-07
1927,1.76E-04,9.10E-07
1934,1.71E-04,9.14E-07
1941,1.66E-04,9.17E-07
1948,1.61E-04,9.20E-07
1955,1.56E-04,9.23E-07
1962,1.50E-04,9.24E-07
1969,1.45E-04,9.26E-07
1976,1.40E-04,9.26E-07
1983,1.35E-04,9.26E-07
1990,1.30E-04,9.26E-07
1997,1.25E-04,9.24E-07
2004,1.20E-04,9.22E-07
2011,1.16E-04,9.20E-07
2018,1.11E-04,9.16E-07
2025,1.06E-04,9.12E-07
2032,1.01E-04,9.07E-07
2039,9.66E-05,9.01E-07
2046,9.20E-05,8.95E-07
2053,8.74E-05,8.87E-07
2060,8.29E-05,8.79E-07
2067,7.85E-05,8.70E-07
2074,7.41E-05,8.60E-07
2081,6.99E-05,8.49E-07
2088,6.57E-05,8.37E-07
2095,6.16E-05,8.24E-07
2102,5.75E-05,8.10E-07
2109,5.36E-05,7.95E-07
2116,4.98E-05,7.78E-07
2123,4.61E-05,7.61E-07
2130,4.25E-05,7.42E-07
2137,3.89E-05,7.22E-07
2144,3.55E-05,7.01E-07
2151,3.23E-05,6.79E-07
2158,2.91E-05,6.55E-07
2165,2.61E-05,6.30E-07
2172,2.32E-05,6.04E-07
2179,2.05E-05,5.76E-07
2186,1.79E-05,5.47E-07
2193,1.54E-05,5.16E-07
2200,1.32E-05,4.84E-07
2207,1.10E-05,4.50E-07
2214,9.07E-06,4.15E-07
2221,7.29E-06,3.78E-07
2228,5.68E-06,3.39E-07
2235,4.27E-06,2.99E-07
2242,3.04E-06,2.57E-07
2249,2.01E-06,2.13E-07
2256,1.19E-06,1.67E-07
2263,5.73E-07,1.20E-07
2270,1.78E-07,7.03E-08
2277,6.95E-09,1.61E-08
2278.7,0.00E+00,0.00E+00
