# distance (m), g, g_p, g_m, y (m^2), y_p (m^2), y_m (m^2)
1.462925851703406610e-01,3.696639383180435993e-04,3.688594466133254509e-04,3.704719469263890097e-04,7.911370345086380919e-06,7.894152999395226444e-06,7.928662957862524531e-06
1.482965931863727271e-01,3.597621680896989139e-04,3.589792253952709083e-04,3.605485334844304914e-04,7.911846267521780357e-06,7.894627886090831915e-06,7.929139920565544413e-06
1.503006012024047933e-01,3.502517416069705946e-04,3.494894962498281505e-04,3.510173191842535351e-04,7.912281663684920700e-06,7.895062334710635198e-06,7.929576268414285673e-06
1.523046092184368594e-01,3.411123379874887685e-04,3.403699825185279963e-04,3.418579387262592043e-04,7.912678520229776821e-06,7.895458327585099198e-06,7.929973992405142620e-06
1.543086172344689255e-01,3.323249355077968780e-04,3.316017038744828948e-04,3.330513288094532503e-04,7.913038673040378358e-06,7.895817696602860128e-06,7.930334932435002444e-06
1.563126252505009917e-01,3.238717135245421748e-04,3.231668784570241389e-04,3.245796298382569857e-04,7.913363822166634849e-06,7.896142138114041820e-06,7.930660792269730243e-06
1.583166332665330578e-01,3.157359628822500462e-04,3.150488334744540688e-04,3.164260961344516590e-04,7.913655544950109048e-06,7.896433226027475569e-06,7.930953152698633047e-06
1.603206412825651239e-01,3.079020039851441720e-04,3.072319234541645767e-04,3.085750138299204505e-04,7.913915307588815262e-06,7.896692423350319559e-06,7.931213483124528529e-06
1.623246492985971901e-01,3.003551117981114382e-04,2.997014554068206890e-04,3.010116257036810419e-04,7.914144475353146498e-06,7.896921092381758178e-06,7.931443151802005024e-06
1.643286573146292562e-01,2.930814471194687228e-04,2.924436202486973245e-04,2.937220623044292525e-04,7.914344321634481807e-06,7.897120503741915842e-06,7.931643434905812177e-06
1.663326653306613223e-01,2.860679935368359568e-04,2.854454298947536406e-04,2.866932787686104372e-04,7.914516035980830302e-06,7.897291844390013174e-06,7.931815524584067339e-06
1.683366733466933607e-01,2.793024995383500196e-04,2.786946594958291615e-04,2.799129968051004835e-04,7.914660731252474017e-06,7.897436224764439700e-06,7.931960536129527883e-06
1.703406813627254268e-01,2.727734253054829149e-04,2.721797943472555590e-04,2.733696513717243852e-04,7.914779450010696975e-06,7.897554685157572946e-06,7.932079514382304778e-06
1.723446893787574929e-01,2.664698937617905150e-04,2.658899810441369880e-04,2.670523416170075132e-04,7.914873170237075308e-06,7.897648201422632417e-06,7.932173439461636289e-06
1.743486973947895591e-01,2.603816454946581717e-04,2.598149825011986471e-04,2.609507857033896384e-04,7.914942810466895032e-06,7.897717690095911453e-06,7.932243231910537400e-06
1.763527054108216252e-01,2.544989972051858057e-04,2.539451364930962263e-04,2.550552791662900366e-04,7.914989234408530917e-06,7.897764013006118767e-06,7.932289757325270245e-06
1.783567134268536913e-01,2.488128033753167403e-04,2.482713174049678640e-04,2.493566564974485284e-04,7.915013255110957017e-06,7.897787981432805385e-06,7.932313830531961929e-06
1.803607214428857575e-01,2.433144208716103848e-04,2.427849009132390960e-04,2.438462556713297388e-04,7.915015638732552001e-06,7.897790359866974089e-06,7.932316219363659960e-06
1.823647294589178236e-01,2.379956762321732181e-04,2.374777313437462949e-04,2.385158853605495114e-04,7.914997107957904706e-06,7.897771869420454796e-06,7.932297648084586612e-06
1.843687374749498897e-01,2.328488354074695647e-04,2.323420914784000155e-04,2.333577946105459908e-04,7.914958345102316936e-06,7.897733190923639571e-06,7.932258800501446787e-06
1.863727454909819559e-01,2.278665757474670800e-04,2.273706746032941382e-04,2.283646447654942753e-04,7.914899994939146932e-06,7.897674967746678320e-06,7.932200322796934496e-06
1.883767535070140220e-01,2.230419600470147270e-04,2.225565586105685565e-04,2.235294834569535145e-04,7.914822667280139388e-06,7.897597808374198067e-06,7.932122826115724440e-06
1.903807615230460881e-01,2.183684124788275226e-04,2.178931819837702662e-04,2.188457204842457059e-04,7.914726939335257547e-06,7.897502288759991867e-06,7.932026888929432051e-06
1.923847695390781265e-01,2.138396962591423381e-04,2.133743215121148716e-04,2.143071054312934223e-04,7.914613357875088860e-06,7.897388954484721733e-06,7.931913059203776081e-06
1.943887775551101926e-01,2.094498929052248087e-04,2.089940715931351187e-04,2.099077068787881235e-04,7.914482441216137750e-06,7.897258322736888149e-06,7.931781856388194624e-06
1.963927855711422588e-01,2.051933829566150128e-04,2.047468249958824622e-04,2.056418930832961507e-04,7.914334681046783003e-06,7.897110884134821648e-06,7.931633773245792035e-06
1.983967935871743249e-01,2.010648280434465117e-04,2.006272549682703893e-04,2.015043140063830162e-04,7.914170544109537720e-06,7.896947104405273421e-06,7.931469277539285166e-06
2.004008016032063910e-01,1.970591541955091155e-04,1.966302985824612385e-04,1.974898845871932553e-04,7.913990473753482833e-06,7.896767425932474252e-06,7.931288813586821626e-06
